FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
18832	1	227634.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18833	1	227644.4	0.9685526	223.9542	0.3123069	0.2951109	5.34451	0.05223549	-0.02824325	0.9982353	0.06421078	-0.08173272	0.9945837	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18834	1	227655	0.9685526	223.9542	0.3123069	0.2951109	5.34451	0.05223549	-0.02824325	0.9982353	0.06421078	-0.08173272	0.9945837	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18835	1	227666	0.9441132	223.9836	0.2993013	0.2674451	5.05866	0.05262003	-0.02679725	0.998255	0.06529484	-0.07850558	0.9947731	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18836	1	227677.5	0.9441132	223.9836	0.2993013	0.2674451	5.05866	0.05262003	-0.02679725	0.998255	0.06529484	-0.07850558	0.9947731	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18837	1	227690.3	0.9640737	224.0046	0.2586912	0.2315021	4.302416	0.05244333	-0.02562827	0.998295	0.06736407	-0.08151544	0.9943929	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18838	1	227701.3	0.9079127	224.0172	0.267467	0.2374035	4.454049	0.05262551	-0.02565471	0.9982847	0.06703534	-0.08048673	0.994499	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18839	1	227710	0.9079127	224.0172	0.267467	0.2374035	4.454049	0.05262551	-0.02565471	0.9982847	0.06703534	-0.08048673	0.994499	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18840	1	227720.3	0.9028822	224.0424	0.2610606	0.2282696	4.31596	0.05282588	-0.02532093	0.9982827	0.06770477	-0.07999876	0.9944929	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18841	1	227732.1	0.9028822	224.0424	0.2610606	0.2282696	4.31596	0.05282588	-0.02532093	0.9982827	0.06770477	-0.07999876	0.9944929	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18842	1	227743.7	0.9028822	224.0424	0.2610606	0.2282696	4.31596	0.05282588	-0.02532093	0.9982827	0.06770477	-0.07999876	0.9944929	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18843	1	227752.9	0.8883906	224.076	0.3228101	0.2805757	5.364609	0.05399588	-0.02499245	0.9982284	0.06592087	-0.0791767	0.9946786	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18844	1	227764.6	0.8883906	224.076	0.3228101	0.2805757	5.364609	0.05399588	-0.02499245	0.9982284	0.06592087	-0.0791767	0.9946786	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18845	1	227776.2	0.9557116	224.0928	0.3174026	0.2783855	5.384668	0.05280147	-0.02366434	0.9983246	0.06467722	-0.07931481	0.9947492	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18846	1	227786.9	0.9772187	224.1012	0.2979946	0.2550799	4.984316	0.05314949	-0.02362252	0.9983071	0.06600275	-0.07830773	0.9947419	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18847	1	227798.3	0.9772187	224.1012	0.2979946	0.2550799	4.984316	0.05314949	-0.02362252	0.9983071	0.06600275	-0.07830773	0.9947419	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18848	1	227809	0.9088343	224.1264	0.2686803	0.2283601	4.410075	0.05342621	-0.02376614	0.9982889	0.06797782	-0.07934897	0.9945264	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18849	1	227821.7	0.9088343	224.1264	0.2686803	0.2283601	4.410075	0.05342621	-0.02376614	0.9982889	0.06797782	-0.07934897	0.9945264	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18850	1	227832	0.9966363	224.1516	0.3163252	0.2667741	5.280441	0.05363517	-0.02353288	0.9982833	0.06575918	-0.07709942	0.9948525	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18851	1	227843.4	0.9966363	224.1516	0.3163252	0.2667741	5.280441	0.05363517	-0.02353288	0.9982833	0.06575918	-0.07709942	0.9948525	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18852	1	227853.9	0.9976811	224.181	0.4196155	0.361073	7.170473	0.05389307	-0.02259479	0.9982911	0.0627516	-0.07773177	0.9949975	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18853	1	227865.7	0.9976811	224.181	0.4196155	0.361073	7.170473	0.05389307	-0.02259479	0.9982911	0.0627516	-0.07773177	0.9949975	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18854	1	227877.1	0.9976811	224.181	0.4196155	0.361073	7.170473	0.05389307	-0.02259479	0.9982911	0.0627516	-0.07773177	0.9949975	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18855	1	227887.7	0.993166	224.2062	0.3772392	0.3234052	6.278297	0.05479861	-0.02384821	0.9982126	0.06494926	-0.07876062	0.9947755	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18856	1	227899.4	0.993166	224.2062	0.3772392	0.3234052	6.278297	0.05479861	-0.02384821	0.9982126	0.06494926	-0.07876062	0.9947755	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18857	1	227910.5	0.9311857	224.2272	0.4013091	0.3317302	6.611191	0.0556781	-0.02173804	0.9982121	0.06529742	-0.07821476	0.9947958	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18858	1	227921.2	0.9311857	224.2272	0.4013091	0.3317302	6.611191	0.0556781	-0.02173804	0.9982121	0.06529742	-0.07821476	0.9947958	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18859	1	227933.5	0.9244053	224.2355	0.3950251	0.327423	6.561333	0.05514617	-0.02203024	0.9982352	0.06484696	-0.07737966	0.9948906	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18860	1	227943.2	0.9229178	224.2523	0.5916825	0.5596905	11.28245	0.04950994	-0.02318469	0.9985045	0.05506602	-0.07570802	0.9956084	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18861	1	227956.1	0.9229178	224.2523	0.5916825	0.5596905	11.28245	0.04950994	-0.02318469	0.9985045	0.05506602	-0.07570802	0.9956084	32.87607	-0.3062288	-0.2422345	-32.88963	-0.01633032	-0.004140873	binocular	
18862	1	227976.6	0.391977	224.2797	-0.1387645	0.3781835	3.544715	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	0	0	0	monocular_1	
