4/16/2019 11:22:39 AM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
18943	227.6231	0	228.9085	0	1.285355	2.920486
19240	231.0692	NaN	232.2695	NaN	1.200378	2.113741
19538	234.409	NaN	235.8381	NaN	1.429047	4.102909
19839	238.1216	NaN	239.4061	NaN	1.284485	4.079523
20137	241.704	NaN	242.91	NaN	1.205978	4.203907
20450	245.3046	NaN	246.5441	NaN	1.239517	4.023543
20715	248.7325	NaN	249.5649	NaN	0.832428	2.553911
20947	251.7495	NaN	252.6713	NaN	0.9217682	3.87622
21238	255.0411	NaN	256.0494	NaN	1.008301	1.724094
21495	257.9651	NaN	258.9865	NaN	1.021423	2.169779
21738	261.0378	NaN	262.0093	NaN	0.9715271	3.753114
21982	264.2025	NaN	265.0371	NaN	0.8345947	1.784509
22208	267.0955	NaN	268.2196	NaN	1.124146	3.146009
22424	270.2666	NaN	271.0388	NaN	0.7722473	1.535359
22666	272.9715	NaN	273.9157	NaN	0.9441528	3.20712
22949	275.9548	NaN	277.5518	NaN	1.597015	4.260069
23220	279.8582	NaN	280.6398	NaN	0.7815857	1.015499
23462	282.4673	NaN	283.4452	NaN	0.9778442	1.921332
23727	285.5515	NaN	286.5081	NaN	0.9566345	1.034236
23966	288.4305	NaN	289.4987	NaN	1.068268	2.41535
24242	291.5324	NaN	292.9272	NaN	1.394806	2.867893
24548	295.0093	NaN	296.4689	NaN	1.459625	4.356702
24840	298.8292	NaN	299.8298	NaN	1.00058	2.145705
25071	301.8198	NaN	302.4773	NaN	0.6575012	2.341037
25356	304.506	NaN	305.7507	NaN	1.24472	4.015658
25617	307.9457	NaN	308.8549	NaN	0.9092102	4.000295
25918	311.2158	NaN	312.352	NaN	1.136169	2.739982
26177	314.4194	NaN	315.3334	NaN	0.9139709	1.555328
26427	317.3161	NaN	318.4553	NaN	1.139221	4.046812
26686	320.6978	NaN	321.7234	NaN	1.025665	4.349891
26983	324.2504	NaN	325.2873	NaN	1.036957	2.605401
27202	327.3282	328.0511	328.2961	0.7228699	0.9678955	4.048791
27373	330.5366	NaN	331.3451	NaN	0.8084412	1.551999
27612	333.3223	NaN	334.0883	NaN	0.7659912	1.539024
27856	336.012	336.348	336.9364	0.3359985	0.9244385	4.143482
28130	339.1185	NaN	340.3693	NaN	1.250824	3.760706
28402	342.5443	NaN	343.4627	NaN	0.918457	3.037741
28680	345.8554	NaN	346.644	NaN	0.7886047	1.14602
28892	348.5596	NaN	349.4543	NaN	0.8946838	2.838812
29143	351.4956	NaN	352.3204	NaN	0.8247375	1.952379
29399	354.5106	NaN	355.232	NaN	0.721405	2.628456
29705	357.3223	NaN	358.7	NaN	1.377747	1.488704
29961	360.6559	NaN	361.7114	NaN	1.055481	3.714226
30196	363.7496	NaN	364.3706	NaN	0.6210632	1.015764
30444	366.1788	NaN	367.2632	NaN	1.084412	3.740846
30701	369.2966	NaN	370.7484	NaN	1.451752	2.802959
30919	372.9977	NaN	373.786	NaN	0.7882996	1.178243
31168	375.8	NaN	376.9816	NaN	1.181671	2.399508
31414	378.9047	NaN	379.7953	NaN	0.8905945	3.222349
31697	381.8638	NaN	383.0408	NaN	1.177032	4.450435
31984	385.1723	NaN	386.4513	NaN	1.278961	4.182758
32237	388.8658	NaN	389.7065	NaN	0.8406372	2.321441
32497	391.8529	NaN	392.6957	NaN	0.842804	1.756567
32776	394.7227	NaN	395.9286	NaN	1.205933	3.871323
33066	398.0594	NaN	399.2416	NaN	1.182129	3.487303
33339	401.4089	NaN	402.3256	NaN	0.916626	3.653383
33548	404.4408	NaN	405.0951	NaN	0.6542664	1.540662
33817	407.0771	408.0592	408.1893	0.9820862	1.112152	3.397769
34056	410.313	NaN	410.9372	NaN	0.624176	1.795796
34309	412.9435	NaN	413.8745	NaN	0.9310608	2.834373
34577	415.8761	NaN	416.9491	NaN	1.073029	4.382861
34821	419.0479	NaN	420.0504	NaN	1.002533	3.523593
35061	422.0782	NaN	422.9569	NaN	0.8787231	2.168407
35245	424.8175	NaN	425.6804	NaN	0.862854	4.023121
35486	427.8518	NaN	428.797	NaN	0.9452209	3.661007
35742	431.146	431.5235	431.88	0.3775635	0.7340393	2.842242
36005	433.9795	NaN	434.8623	NaN	0.8828125	1.220953
36250	436.841	NaN	437.6362	NaN	0.7952271	1.874559
36511	439.7549	NaN	440.6079	NaN	0.8529968	2.37236
36734	442.5849	NaN	443.3743	NaN	0.7893982	2.346091
37013	445.3645	NaN	446.7928	NaN	1.428375	3.71727
37261	448.8941	NaN	449.6636	NaN	0.7694702	2.767606
37513	451.7124	NaN	452.6541	NaN	0.9416504	2.70542
37770	454.5817	NaN	455.5605	NaN	0.9787903	2.993907
38070	458.0103	NaN	458.9892	NaN	0.9788513	3.187774
38342	461.1556	NaN	462.1387	NaN	0.9831543	3.075021
38609	464.2085	NaN	465.2006	NaN	0.9921265	2.322684
38885	467.1537	NaN	468.3743	NaN	1.22052	3.66095
39144	470.4548	NaN	471.3248	NaN	0.8700256	1.019021
39377	473.2308	NaN	474.0018	NaN	0.7710266	2.402257
39626	475.9492	NaN	476.8498	NaN	0.9005737	3.093253
39880	479.034	NaN	480.1109	NaN	1.076904	4.00086
40159	482.38	NaN	483.3511	NaN	0.9710693	3.535044
40390	485.3633	NaN	486.4341	NaN	1.07074	2.463854
40598	488.4666	NaN	490.2916	NaN	1.825043	3.477464
40865	492.6436	NaN	493.4638	NaN	0.8202209	1.336336
41058	495.5158	495.819	496.3192	0.3031921	0.8033142	1.565543
41288	498.3927	NaN	499.3903	NaN	0.9975891	1.307482
41542	501.3417	NaN	502.3403	NaN	0.9985962	1.320748
41782	504.2943	NaN	505.2329	NaN	0.9385681	2.503691
42050	507.1099	NaN	508.4716	NaN	1.361725	3.760551
42309	510.5152	NaN	511.4546	NaN	0.9393921	2.03408
42552	513.4496	NaN	514.7946	NaN	1.344971	4.374078
42796	516.8757	NaN	518.1044	NaN	1.228699	4.20709
43105	520.2392	NaN	521.6534	NaN	1.414246	4.017426
43376	523.6973	NaN	525.4281	NaN	1.730835	3.952424
43631	527.9409	NaN	529.3683	NaN	1.42749	4.474589
43847	531.4747	NaN	532.2202	NaN	0.7455444	1.340977
44085	534.1091	NaN	535.0344	NaN	0.925293	1.763635
44331	536.9814	NaN	538.418	NaN	1.436523	3.876632
44558	540.4319	NaN	541.1671	NaN	0.7352295	1.145179
44828	543.2363	NaN	544.2827	NaN	1.046448	4.354426
45071	546.3051	NaN	547.1084	NaN	0.8032837	3.488154
45323	549.1544	NaN	550.314	NaN	1.159607	3.192327
45575	552.3634	NaN	553.2306	NaN	0.8671875	1.881499
45813	555.141	NaN	556.014	NaN	0.8730469	2.725955
46078	558.1259	NaN	559.0599	NaN	0.93396	3.808382
46364	561.2979	NaN	562.3152	NaN	1.017395	2.809129
46613	564.5162	NaN	565.4278	NaN	0.9116211	3.441499
46975	567.5652	NaN	569.7327	NaN	2.16748	4.267035
47232	571.7649	NaN	572.7099	NaN	0.9450073	2.780972
47478	574.7225	575.0541	575.5056	0.331543	0.7830811	1.924088
47723	577.5399	NaN	578.7375	NaN	1.197632	4.154801
47939	580.8117	NaN	581.5002	NaN	0.6884766	1.094328
48176	583.3445	NaN	584.2251	NaN	0.8806152	2.381118
48442	586.2535	NaN	587.2643	NaN	1.010742	3.520532
48693	589.296	NaN	590.1127	NaN	0.8167114	1.966121
48927	592.0625	592.3594	592.8056	0.296875	0.743103	1.295695
49171	594.7787	NaN	595.5745	NaN	0.7957764	1.609506
49428	597.4883	NaN	598.5569	NaN	1.068604	3.644133
49687	600.6823	NaN	601.5497	NaN	0.8674316	3.478775
49950	603.6723	NaN	604.5665	NaN	0.8942261	3.672761
50197	606.6385	607.1488	607.3738	0.5102539	0.7352295	2.484595
50460	609.5873	NaN	610.8985	NaN	1.311157	4.45465
50722	613.1169	NaN	614.1169	NaN	1	4.192416
50975	616.2271	NaN	617.0212	NaN	0.7941284	2.607239
51196	618.9869	NaN	619.9838	NaN	0.9969482	2.412643
51427	622.0967	622.4139	622.787	0.3171997	0.6903687	1.747931
51677	624.9872	NaN	626.0464	NaN	1.059143	4.287735
51927	628.0498	NaN	628.876	NaN	0.8262329	1.689182
52155	630.8207	NaN	631.8206	NaN	0.9998779	2.779894
52420	634.032	NaN	635.0028	NaN	0.9708252	3.902049
52691	637.0311	NaN	638.1319	NaN	1.100769	3.589566
52963	640.1754	NaN	641.2535	NaN	1.078186	3.751515
53307	643.285	NaN	645.2732	NaN	1.98822	2.274116
53562	647.2064	NaN	648.178	NaN	0.9716187	1.85806
53787	650.0642	NaN	650.7422	NaN	0.6779785	1.045692
53966	652.5962	NaN	653.2551	NaN	0.6589355	1.206062
54183	655.2047	NaN	655.7582	NaN	0.5535278	1.284832
54446	657.7141	NaN	658.7839	NaN	1.069885	2.798985
54691	660.7377	NaN	661.5652	NaN	0.8275146	3.256395
54964	663.7156	NaN	664.6827	NaN	0.967041	2.369584
55230	666.8539	NaN	667.7638	NaN	0.9099121	1.648695
55563	669.6692	NaN	671.6422	NaN	1.972961	4.393482
55850	673.7004	NaN	674.9276	NaN	1.227112	4.325995
56147	677.281	NaN	678.4358	NaN	1.154785	3.060057
56416	680.4911	NaN	681.5488	NaN	1.057678	3.389679
56668	683.6508	NaN	684.4413	NaN	0.7904663	1.7781
56908	686.3795	686.8427	687.2556	0.4632568	0.8761597	4.216316
57172	689.6805	NaN	690.3619	NaN	0.6813354	1.212009
57418	692.31	NaN	693.2985	NaN	0.9885254	1.286083
57656	695.1925	NaN	696.0814	NaN	0.888916	1.240051
57904	698.0034	NaN	699.0073	NaN	1.003845	2.14739
58159	700.9464	NaN	701.9057	NaN	0.9592896	2.636252
58426	703.8938	NaN	704.9424	NaN	1.048645	3.749443
58682	707.0392	NaN	708.2383	NaN	1.199158	4.350421
59112	712.2833	NaN	713.6068	NaN	1.323486	3.350822
59360	715.7178	NaN	716.9025	NaN	1.184753	3.563653
59610	718.9697	NaN	719.856	NaN	0.8862305	2.704564
59908	721.8763	NaN	723.226	NaN	1.349731	3.342152
60198	725.2845	NaN	726.9603	NaN	1.675842	4.333799
60494	729.1573	NaN	730.6071	NaN	1.449768	3.10418
60768	732.6335	NaN	733.7256	NaN	1.092163	2.948531
61017	735.8055	NaN	737.0183	NaN	1.21283	3.832466
61293	739.0442	NaN	740.1931	NaN	1.148926	3.9116
61564	742.3182	NaN	743.2665	NaN	0.9483643	2.661534
61829	745.2526	NaN	746.3342	NaN	1.081604	2.50574
62080	748.3163	NaN	749.1959	NaN	0.8795166	2.920722
62353	751.1752	NaN	752.3242	NaN	1.148987	2.543694
62564	754.3247	NaN	755.1033	NaN	0.7785645	3.064573
62828	757.1632	NaN	758.1805	NaN	1.017273	3.013367
63095	760.3085	NaN	761.2565	NaN	0.947998	3.7926
63368	763.4742	763.7675	764.3624	0.2932739	0.8882446	1.736063
63630	766.4067	NaN	767.5031	NaN	1.096313	4.349367
63892	769.652	769.9564	770.4625	0.3043213	0.8104248	1.076117
64155	772.5271	NaN	773.4892	NaN	0.9620972	1.545568
64408	775.4347	NaN	776.5196	NaN	1.0849	2.453891
64685	778.6187	NaN	779.7263	NaN	1.107605	2.142966
65008	781.9883	NaN	783.3844	NaN	1.396057	3.073748
65290	785.4631	NaN	786.5834	NaN	1.120361	1.026986
65550	788.4616	NaN	789.6896	NaN	1.227966	2.731483
65863	791.8333	NaN	793.2836	NaN	1.450256	2.972611
66129	795.3511	NaN	796.3526	NaN	1.001526	1.061785
66410	798.3354	NaN	799.6478	NaN	1.312317	3.276232
66685	801.984	NaN	803.2112	NaN	1.227173	2.425959
66922	805.1703	NaN	806.3273	NaN	1.156982	4.335944
67211	808.5078	NaN	809.6497	NaN	1.141846	3.767135
67485	811.6617	NaN	812.7942	NaN	1.132507	2.654435
67727	814.7325	NaN	815.989	NaN	1.25647	3.962538
67985	818.0491	NaN	819.1232	NaN	1.074097	3.221455
68277	821.3065	NaN	822.5799	NaN	1.273376	2.945071
68551	824.9408	NaN	826.0084	NaN	1.067627	2.722296
68827	828.1973	NaN	829.1982	NaN	1.000916	3.556163
69088	831.1965	NaN	832.1964	NaN	0.9998779	2.407704
69339	834.2091	834.5627	835.0925	0.3536377	0.8834229	2.170388
69617	837.1287	NaN	838.2624	NaN	1.133667	3.952157
69873	840.4838	841.3232	841.5901	0.8393555	1.106262	3.712753
70074	843.6571	NaN	844.5936	NaN	0.9364624	3.390153
70327	846.9353	NaN	847.8229	NaN	0.8876343	2.516204
70612	850.0287	NaN	851.2281	NaN	1.199341	4.288854
70866	853.2455	NaN	854.6094	NaN	1.363831	4.39255
71102	856.6982	NaN	857.7315	NaN	1.033264	4.210752
71370	860.0093	NaN	860.9477	NaN	0.9384155	2.191256
