FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
29257	1	250993.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29258	1	250999.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29259	1	251006.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29260	1	251013.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29261	1	251020.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29262	1	251027.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29263	1	251034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29264	1	251040.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29265	1	251047.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29266	1	251054.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29267	1	251061.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29268	1	251070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29269	1	251079.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29270	1	251086.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29271	1	251093.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29272	1	251100.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29273	1	251107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29274	1	251113.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29275	1	251120.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29276	1	252146.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29277	1	252153.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29278	1	252160.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29279	1	252167.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29280	1	252175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29281	1	252181.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29282	1	252188.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29283	1	252195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29284	1	252202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29285	1	252209.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29286	1	252215.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29287	1	252222.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29288	1	252229.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29289	1	252236.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29290	1	252243.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29291	1	252249.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
