4/15/2019 6:51:30 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
4749	69.07946	69.38707	69.74725	0.3076096	0.6677856	1
4958	71.67149	NaN	72.32822	NaN	0.6567383	2.5
5495	74.26814	76.8168	79.00452	2.548668	4.736382	2
5706	80.87888	81.175	81.56503	0.2961197	0.6861496	1.5
6310	83.31598	87.40899	88.81771	4.09301	5.501732	2.5
6526	90.72522	91.06512	91.49348	0.3399048	0.7682571	1.5
6810	93.27142	94.2857	94.86755	1.014275	1.596123	1.5
7031	96.66814	NaN	97.50447	NaN	0.8363266	2.5
11475	152.8297	153.1647	153.5326	0.3350067	0.7029266	1.5
11699	155.6567	156.0471	156.3291	0.3903809	0.6723938	2
11891	158.1491	158.4825	158.7701	0.3334503	0.621048	1.5
12040	160.5257	NaN	161.2172	NaN	0.6915588	2.5
12183	162.9594	163.377	163.675	0.4175568	0.7155304	2.5
12365	165.7522	166.292	166.3241	0.5397339	0.5719147	1
12568	168.1667	168.5038	168.8013	0.3370972	0.6345978	2
12794	170.8344	NaN	171.5659	NaN	0.7315216	1
12981	173.3191	173.3347	173.8508	0.01559448	0.531662	1
13126	175.6158	NaN	176.3751	NaN	0.7592468	1
13288	178.108	178.4621	178.8534	0.3541565	0.7453918	2.5
13487	180.6534	181.0106	181.3332	0.3572388	0.6798248	1
13685	183.0212	183.3693	183.6824	0.348114	0.6612396	1
13935	185.3825	186.2504	186.7853	0.8679047	1.402771	2.5
14114	188.6748	NaN	189.4771	NaN	0.8023376	2
14267	191.2021	NaN	191.7115	NaN	0.5093689	2.5
14490	193.9958	194.371	194.5816	0.3751678	0.5858002	1.5
14682	196.3699	NaN	196.9274	NaN	0.5574799	2
14876	198.6696	NaN	199.2717	NaN	0.6021423	2.5
15097	201.1835	201.5126	201.8645	0.3291168	0.6809845	2.5
15291	203.719	204.0126	204.2843	0.2935944	0.5652924	2
15488	206.1873	206.4919	206.9127	0.3045807	0.7253723	2
15633	208.7124	209.0216	209.21	0.3091583	0.4975891	1
15778	210.9588	211.2328	211.56	0.2739868	0.60112	2
15983	213.3869	213.7422	214.0065	0.3553009	0.6196594	2.5
16171	215.8855	216.196	216.3659	0.3104858	0.4803162	1
16346	218.1178	218.4527	218.5666	0.3348999	0.4488678	1.5
16497	220.3846	220.7487	220.9196	0.3640594	0.5349884	2.5
16697	222.7637	223.2	223.255	0.4363098	0.4912872	1
16904	225.0618	225.3661	225.6786	0.3043518	0.6168671	1.5
17084	227.4003	227.6878	227.7782	0.2874298	0.3778687	1
17270	229.5667	229.9244	230.0133	0.3576965	0.4466553	1.5
17465	231.8473	NaN	232.4476	NaN	0.6003265	2
17650	234.2469	234.5442	234.6925	0.297348	0.4456635	1
17816	236.4173	NaN	236.7499	NaN	0.3326416	1
17966	238.6571	NaN	239.0933	NaN	0.4361725	1.5
18125	241.0114	NaN	241.6961	NaN	0.6847382	2.5
18316	243.6402	NaN	244.0387	NaN	0.3985291	1.5
18476	246.0334	NaN	246.5105	NaN	0.4770203	2.5
18674	248.68	NaN	249.1239	NaN	0.4438934	1.5
18945	250.8919	251.3092	252.5114	0.4172516	1.619446	2
19138	254.3294	254.6591	254.774	0.3296814	0.4445953	1
19277	256.531	256.8468	257.044	0.3157959	0.5129395	1.5
19459	258.8078	259.1179	259.2991	0.3101196	0.4913025	2
19611	261.0761	261.3642	261.59	0.2880859	0.513916	1
19783	263.3346	263.6089	263.8528	0.2742615	0.5182495	1.5
19969	265.6924	266.0434	266.2128	0.3510437	0.5204468	2
20110	267.9952	268.3147	268.4809	0.3194885	0.4857178	2.5
20293	270.5066	NaN	270.8721	NaN	0.3654785	1
20478	272.7715	NaN	273.1188	NaN	0.34729	1.5
20672	274.9667	275.2634	275.5072	0.2967529	0.5405273	1
20852	277.3209	NaN	277.7411	NaN	0.4201965	2
21025	279.5646	279.8932	279.9418	0.3285522	0.3772278	2.5
21221	281.8639	NaN	282.3771	NaN	0.5131836	2.5
21402	284.3592	284.6205	284.8895	0.2612305	0.530304	2
21564	286.655	NaN	287.1686	NaN	0.5135803	2.5
21768	289.0913	289.3632	289.6264	0.2718811	0.5351257	2.5
21961	291.6269	291.9058	292.0591	0.2789001	0.4322205	1
22148	293.8148	294.1987	294.4093	0.3838806	0.5945129	1.5
22307	296.1964	296.5885	296.7643	0.3920288	0.5678101	1
22495	298.4943	298.8317	298.9524	0.3374634	0.4581604	1
22654	300.7521	NaN	301.3083	NaN	0.5561829	2
22859	303.1028	303.444	303.7357	0.3411865	0.6328125	1.5
23049	305.4983	NaN	305.9681	NaN	0.4698486	1
23242	307.7557	308.0953	308.2466	0.3395386	0.4909058	1.5
23436	310.1125	NaN	310.6143	NaN	0.5018616	2.5
23640	312.5922	312.9189	313.1494	0.3267822	0.5572205	2.5
23812	314.9496	NaN	315.5292	NaN	0.5795288	2
24006	317.3605	317.6675	317.8296	0.3070374	0.4691162	1
24213	319.6171	NaN	320.2547	NaN	0.6375732	2
24379	322.1544	322.4489	322.6705	0.2944946	0.5160828	1
24584	324.4547	324.7592	325.0792	0.3045044	0.6245117	2
24790	326.9335	NaN	327.5259	NaN	0.5924072	2.5
24998	329.4806	329.7686	330.0827	0.2880554	0.6021118	1
25219	331.8255	NaN	332.6874	NaN	0.861908	2
25432	334.5508	334.8317	335.2323	0.2809448	0.6815796	2.5
25645	337.1204	337.4736	337.8483	0.3531799	0.7278748	1.5
25861	339.8352	340.1159	340.471	0.2807007	0.6358032	2
26029	342.3037	342.6506	342.9502	0.3468933	0.6464844	2.5
26231	344.7421	NaN	345.4071	NaN	0.6649475	2.5
26388	347.2843	347.5722	347.8095	0.2878418	0.5251465	1.5
26583	349.6305	349.9918	350.1585	0.3613586	0.5280762	2.5
26782	352.0206	NaN	352.6036	NaN	0.5830078	2.5
26951	354.4675	NaN	355.0365	NaN	0.5689392	1.5
27143	356.9807	357.3617	357.728	0.3809509	0.7472229	2.5
27355	359.7746	360.0886	360.3885	0.3139648	0.6139221	1.5
27507	362.2079	362.5161	362.7881	0.308197	0.5801086	2
27656	364.7176	365.0685	365.3128	0.3508606	0.5952454	1.5
27832	367.1461	NaN	367.8264	NaN	0.6802673	2.5
28035	369.7029	370.0194	370.2624	0.3164978	0.5594788	1.5
28241	372.231	372.5997	372.7173	0.3686829	0.4862976	1
28433	374.5391	374.5524	374.9984	0.01330566	0.4593811	1
28641	376.8405	NaN	377.479	NaN	0.6385193	2.5
28851	379.3774	379.7756	380.0302	0.3981323	0.6527405	2.5
29014	381.8886	NaN	382.4628	NaN	0.5741577	2
29237	384.3807	NaN	385.1388	NaN	0.7580566	2
29452	387.1512	387.4634	387.7863	0.3122864	0.6351013	1
29608	389.597	390.0464	390.1661	0.4494629	0.5691223	2.5
29771	392.0985	392.3987	392.6713	0.3002319	0.5727844	1.5
29971	394.5445	394.8462	395.0826	0.3017578	0.538147	1.5
30154	396.7795	NaN	397.292	NaN	0.5124512	1
30339	399.0788	399.0916	399.5485	0.01278687	0.469696	1
30533	401.2363	401.6056	401.8396	0.3692322	0.603302	1.5
30706	403.6271	NaN	404.329	NaN	0.7019653	2.5
30915	406.3865	406.6538	406.8854	0.2673035	0.4988708	2
31092	408.7422	NaN	409.4218	NaN	0.6795959	1.5
31303	411.2116	NaN	411.947	NaN	0.7354431	1.5
31532	413.7582	NaN	414.795	NaN	1.036865	2.5
31740	416.6388	417.0927	417.219	0.4538269	0.5801392	2.5
31951	419.1401	NaN	419.765	NaN	0.624939	2
32113	421.6883	421.6985	422.2455	0.01019287	0.5571899	1
32382	424.4806	NaN	426.4452	NaN	1.9646	1.5
32655	428.8706	429.2392	429.6654	0.3686218	0.7948303	2.5
32890	431.8235	432.1078	432.4893	0.2842407	0.6657104	2
33096	434.2664	434.6681	435.0259	0.4017029	0.759552	1.5
33316	436.9675	NaN	437.6693	NaN	0.7017517	2
